"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","253","Get exercises","LMS service","2026-07-15","passed","2026-07-15","Get entities","Exercises","",""
"","485","Login with correct email and password","LMS service","2026-07-15","passed","2026-07-15","Login","Authentication","",""
"","473","Create file with empty directory","LMS service","2026-07-15","passed","2026-07-15","Validate entity","Files","",""
"","11","Get file","LMS service","2026-07-15","passed","2026-07-15","Get entity","Files","",""
"","574","Create file with empty filename","LMS service","2026-07-15","passed","2026-07-15","Validate entity","Files","",""
"","448","Delete exercise","LMS service","2026-07-15","passed","2026-07-15","Delete entity","Exercises","",""
"","35","Get courses","LMS service","2026-07-15","passed","2026-07-15","Get entities","Courses","",""
"","21","Update exercise","LMS service","2026-07-15","passed","2026-07-15","Update entity","Exercises","",""
"","785","Create exercise","LMS service","2026-07-15","passed","2026-07-15","Create entity","Exercises","",""
"","24","Create course","LMS service","2026-07-15","passed","2026-07-15","Create entity","Courses","",""
"","1089","Create file","LMS service","2026-07-15","passed","2026-07-15","Create entity","Files","",""
"","728","Create user","LMS service","2026-07-15","passed","2026-07-15","Create entity","Users","",""
"","63","Update course","LMS service","2026-07-15","passed","2026-07-15","Update entity","Courses","",""
"","18","Get file with incorrect file id","LMS service","2026-07-15","passed","2026-07-15","Validate entity","Files","",""
"","711","Create user","LMS service","2026-07-15","passed","2026-07-15","Create entity","Users","",""
"","476","Create user","LMS service","2026-07-15","passed","2026-07-15","Create entity","Users","",""
"","15","Delete file","LMS service","2026-07-15","passed","2026-07-15","Delete entity","Files","",""
"","53","Get exercise","LMS service","2026-07-15","passed","2026-07-15","Get entity","Exercises","",""
"","10","Get user me","LMS service","2026-07-15","passed","2026-07-15","Get entity","Users","",""
